pharmacy,BST 2010,Probability and Statistical Inference,
pharmacy,EPI 2010,Nutritional Epidemiology,
pharmacy,EPI 3010,Advanced Epidemiology,
pharmacy,IST 1025,Introduction to Computer Programming,
pharmacy,DAN 3010,Multivariate Methods/Analysis,
pharmacy,PHT 2010,Disease Prevention & Health Promotion,
pharmacy,BST 3010,Regression Modelling,
pharmacy,HSC 3395,Environmental & Occupational Health,
pharmacy,NSC 2205,Human Physiology,
pharmacy,PHT 2020,Control & Prevention of Infectious Diseases,
pharmacy,PHT 3010,Contemporary Community Health Issues,
pharmacy,BST 3020,Demographic Techniques,
pharmacy,DAN 3020,Data Mining,
pharmacy,HSC 4010,Sociology for Health Sciences,
pharmacy,EPI 4010,Exposure Assessment in Epidemiology,
pharmacy,EPI 4020,Genetic & Molecular Epidemiology,
pharmacy,EPI 4030,Pharmacoepidemiology and Drug Safety,
pharmacy,HSC 4396,Fundamentals of Global Health,
pharmacy,DAN 4010,Design & Management of Clinical Trials,
pharmacy,PHT 4010,Public Health Epidemiology,
pharmacy,DAN 4015,Longitudinal Data Analysis,
pharmacy,BST 4030,Spatial Statistics and Disease Mapping,
pharmacy,HSC 4496,Research Methods in Health Sciences,
pharmacy,DAN 4030,Time Series Analysis,
pharmacy,BST 4040,Statistical Genetics,
pharmacy,HSC 4494,Practicum & Attachment,
pharmacy,HSC 4495,Project Planning & Proposal Development,
pharmacy,BST 4020,Mathematical Modelling of Infectious Diseases,
pharmacy,PHT 4020,Monitoring & Evaluation of Health Programs,
pharmacy,DAN 4020,Survival Data Analysis,
pharmacy,BST 4050,Biostatistical Consultancy,
pharmacy,PHM 4510,Fundamentals of Pharmacometrics,
pharmacy,BST 4010,Research Project,
pharmacy,BST 4060,Principles of Bioinformatics,
pharmacy,ENT 4005,Entrepreneurial Behavior & Ethics,
humanities,FIL 1010,Fundamentals of Information Literacy,
humanities,POL 2201,Introduction to Political Science,
humanities,IRL 2000,Foundation of International Relations,
humanities,IRL 2005,Comparative Foreign Policy,
humanities,IRL 2010,International Organisations,
humanities,IRL 3000,Comparative Political Systems,
humanities,IRL 3003,Research Methods in IR,
humanities,IRL 3005,Contemporary Theories & Ideologies,
humanities,IRL 3021,African Philosophy & Ideologies,
humanities,IRL 3060,African International Relations,
humanities,IRL 4020,International Law,
humanities,IRL 4030,International Political Economy,
humanities,IRL 4075,Mechanism of International Communication,
humanities,IRL 4900,International Relations Project,
humanities,IRL 4910,Internship,
humanities,IRL 3100,Diplomacy,
humanities,IRL 3110,Simulation Exercise,
humanities,IRL 3200,Negotiation & Mediation,
humanities,IRL 4120,International Humanitarian Law,
humanities,IRL 4035,Environmental Politics,
humanities,IRL 4040,Africa – Asia Relations,
