Course Code, Course Name,Unnamed: 2
CJS 4140,Police Administration,
CJS 4150,Criminal Justice Administration,
CJS 4125,Seminar in Criminal Justice,
SOC 1101,Foundations of Sociology,
SOC 1102,The Social Structure of Society,
SOC 2214,Social Change,
SOC 2220,Writing in Sociology,
SOC 3302,Classical Sociological Theory,
SOC 3303,Social Research Methods,
SOC 4401,Modern Sociological Theory,
SOC 4402,Micro Sociological Theories,
SOC 4403,Data Analysis and Report Writing,
SOC 4910,Sociology Internship / Project,
SOC 2209,Social Problems,
SOC 2217,Social Inequality,
SOC 2218,Social Gerontology,
SOC 3306,Community Development and Social Welfare,
SOC 3307,Community Leadership,
SOC 3317,Social Conflict and Resolution,
SOC 3324,Sociology of Project Planning and Management,
SOC 3325,Participatory Project Monitoring & Evaluation,
SOC 4410,Child Protection and Welfare Practices,
SOC 4414,Rural Sociology,
SOC 4416,Public Policy and Administration,
SOC 4421,Special Topics in Sociology,
SOC 2207,Concepts of Health and Illness,
SOC 2208,Bioethics,
PSY 3171,Social Psychology of Health and Care,
SOC 3309,Sociology of Health and Medicine,
SOC 3311,Lifestyle Diseases and Illnesses,
SOC 3312,Sociology of Mental Health and Illness,
SOC 3318,Healthcare Systems in Developing Countries,
HSC 4010,Sociology of Health Sciences,
SOC 4406,Traditional and Alternative Medical Systems,
SOC 2213,Sociology of the Family,
SOC 3308,Formal Organizations,
SOC 3319,Sociology of Work,
SOC 3320,Urban Sociology,
SOC 3322,Industrial Sociology,
MGT 4040,Human Resource Management,
SOC 4407,Sociology of Occupations and Professions,
SOC 4418,Labor Relations and Collective Bargaining,
SOC 2212,Sociology of Gender,
SOC 2215,Sociology of Religion,
SOC 2216,Sociology of Education,
SOC 3305,Deviant Behavior,
SOC 3313,Political Sociology,
SOC 3314,Environmental Sociology,
SOC 3316,Sociology of Development,
SOC 3321,Race and Ethnic Relations,
SOC 3323,Social Demography,
SOC 4412,Collective Behavior and Social Movements,
SOC 4415,Sociology of Law,
SOC 4419,Sociology of Mass Communication,
BUS 1010,Introduction to Business Organizations,
COM 3000,Organizational Communication,
GNS 3001,Women and Men in Cross-cultural Perspective,
IRL 3030,Patterns of Development,
JRN 3018,PR and Organizational Communication,
POL 3110,Public Policy Formulation,
POL 3120,Public Personnel Administration,
BUS 4090,Strategic Management,
MGT 4020,Organizations and Organizational Behavior,
IRL 6000,Research Methods in International Relations,
PHY1331,Introduction to Medical Physiology (Human Physiology I),
ENV2001,Sustainable Resource Management,
HAN1321,Human Anatomy I,
